Country/Region,Confirmed,Deaths,Recovered,Active
Afghanistan,1,0,0,1
Australia,22,0,11,11
Bahrain,1,0,0,1
Belgium,1,0,1,0
Cambodia,1,0,1,0
Canada,10,0,3,7
Egypt,1,0,0,1
Finland,1,0,1,0
France,12,1,4,7
Germany,16,0,14,2
Hong Kong,79,2,19,58
India,3,0,3,0
Iran,61,12,0,49
Iraq,1,0,0,1
Israel,1,0,0,1
Italy,229,7,1,221
Japan,159,1,22,136
Kuwait,1,0,0,1
Lebanon,1,0,0,1
Macau,10,0,6,4
Mainland China,77152,2593,24990,49569
Malaysia,22,0,18,4
Nepal,1,0,1,0
Oman,2,0,0,2
Others,691,3,0,688
Philippines,3,1,1,1
Russia,2,0,2,0
Singapore,89,0,51,38
South Korea,833,8,18,807
Spain,2,0,2,0
Sri Lanka,1,0,1,0
Sweden,1,0,0,1
Taiwan,30,1,5,24
Thailand,35,0,21,14
UK,13,0,8,5
US,53,0,5,48
United Arab Emirates,13,0,4,9
Vietnam,16,0,14,2
