Country/Region,Confirmed,Deaths,Recovered,Active
Australia,22,0,11,11
Belgium,1,0,1,0
Cambodia,1,0,1,0
Canada,9,0,3,6
Egypt,1,0,0,1
Finland,1,0,1,0
France,12,1,4,7
Germany,16,0,14,2
Hong Kong,69,2,6,61
India,3,0,3,0
Iran,28,5,0,23
Israel,1,0,0,1
Italy,62,2,1,59
Japan,122,1,22,99
Lebanon,1,0,0,1
Macau,10,0,6,4
Mainland China,76922,2441,22687,51794
Malaysia,22,0,15,7
Nepal,1,0,1,0
Others,634,2,1,631
Philippines,3,1,1,1
Russia,2,0,2,0
Singapore,85,0,37,48
South Korea,433,2,16,415
Spain,2,0,2,0
Sri Lanka,1,0,1,0
Sweden,1,0,0,1
Taiwan,26,1,2,23
Thailand,35,0,17,18
UK,9,0,8,1
US,35,0,5,30
United Arab Emirates,13,0,4,9
Vietnam,16,0,14,2
