Country/Region,Confirmed,Deaths,Recovered,Active
Australia,19,0,11,8
Belgium,1,0,1,0
Cambodia,1,0,1,0
Canada,9,0,3,6
Egypt,1,0,0,1
Finland,1,0,1,0
France,12,1,4,7
Germany,16,0,14,2
Hong Kong,68,2,5,61
India,3,0,3,0
Iran,18,4,0,14
Israel,1,0,0,1
Italy,20,1,0,19
Japan,105,1,22,82
Lebanon,1,0,0,1
Macau,10,0,6,4
Mainland China,75472,2236,18693,54543
Malaysia,22,0,15,7
Nepal,1,0,1,0
Others,634,2,1,631
Philippines,3,1,1,1
Russia,2,0,2,0
Singapore,85,0,37,48
South Korea,204,2,16,186
Spain,2,0,2,0
Sri Lanka,1,0,1,0
Sweden,1,0,0,1
Taiwan,26,1,2,23
Thailand,35,0,17,18
UK,9,0,8,1
US,35,0,5,30
United Arab Emirates,9,0,4,5
Vietnam,16,0,14,2
