Country/Region,Confirmed,Deaths,Recovered,Active
Afghanistan,22,0,1,21
Albania,55,1,0,54
Algeria,60,4,12,44
Andorra,39,0,1,38
Antigua and Barbuda,1,0,0,1
Argentina,68,2,3,63
Armenia,78,0,1,77
Aruba,3,0,0,3
Australia,452,5,23,424
Austria,1332,3,1,1328
Azerbaijan,28,1,6,21
Bahrain,228,1,81,146
Bangladesh,10,0,3,7
Barbados,2,0,0,2
Belarus,36,0,3,33
Belgium,1243,10,1,1232
Benin,1,0,0,1
Bhutan,1,0,0,1
Bolivia,11,0,0,11
Bosnia and Herzegovina,26,0,2,24
Brazil,321,1,2,318
Brunei,56,0,0,56
Bulgaria,67,2,0,65
Burkina Faso,15,0,0,15
Cambodia,33,0,1,32
Cameroon,10,0,0,10
Canada,478,5,9,464
Central African Republic,1,0,0,1
Chile,201,0,0,201
China,81058,3230,68798,9030
Colombia,65,0,1,64
Congo (Brazzaville),1,0,0,1
Congo (Kinshasa),3,0,0,3
Costa Rica,41,0,0,41
Cote d\'Ivoire,5,0,1,4
Croatia,65,0,4,61
Cruise Ship,696,7,325,364
Cuba,5,0,0,5
Cyprus,46,0,0,46
Czechia,396,0,3,393
Denmark,1024,4,1,1019
Dominican Republic,21,1,0,20
Ecuador,58,2,0,56
Egypt,196,4,32,160
Equatorial Guinea,1,0,0,1
Estonia,225,0,1,224
Eswatini,1,0,0,1
Ethiopia,5,0,0,5
Finland,321,0,10,311
France,7683,148,12,7523
French Guiana,11,0,0,11
Gabon,1,0,0,1
Georgia,34,0,1,33
Germany,9257,24,67,9166
Ghana,7,0,0,7
Greece,387,5,8,374
Greenland,1,0,0,1
Guadeloupe,18,0,0,18
Guam,3,0,0,3
Guatemala,6,1,0,5
Guernsey,0,0,0,0
Guinea,1,0,0,1
Guyana,7,1,0,6
Holy See,1,0,0,1
Honduras,8,0,0,8
Hungary,50,1,2,47
Iceland,220,1,0,219
India,142,3,14,125
Indonesia,172,5,8,159
Iran,16169,988,5389,9792
Iraq,154,11,32,111
Ireland,223,2,5,216
Israel,337,0,11,326
Italy,31506,2503,2941,26062
Jamaica,12,0,2,10
Japan,878,29,144,705
Jersey,0,0,0,0
Jordan,34,0,1,33
Kazakhstan,33,0,0,33
Kenya,3,0,0,3
"Korea, South",8320,81,1407,6832
Kosovo,2,0,0,2
Kuwait,130,0,9,121
Latvia,49,0,1,48
Lebanon,120,3,3,114
Liberia,1,0,0,1
Liechtenstein,7,0,0,7
Lithuania,25,0,1,24
Luxembourg,140,1,0,139
Malaysia,673,2,49,622
Maldives,13,0,0,13
Malta,38,0,2,36
Martinique,16,1,0,15
Mauritania,1,0,0,1
Mayotte,1,0,0,1
Mexico,82,0,4,78
Moldova,30,0,1,29
Monaco,7,0,0,7
Mongolia,5,0,0,5
Montenegro,2,0,0,2
Morocco,38,2,1,35
Namibia,2,0,0,2
Nepal,1,0,1,0
Netherlands,1708,43,2,1663
New Zealand,12,0,0,12
Nigeria,3,0,0,3
North Macedonia,26,0,1,25
Norway,1463,3,1,1459
Oman,24,0,9,15
Pakistan,236,0,2,234
Panama,69,1,0,68
Paraguay,9,0,0,9
Peru,117,0,1,116
Philippines,187,12,5,170
Poland,238,5,13,220
Portugal,448,1,3,444
Puerto Rico,0,0,0,0
Qatar,439,0,4,435
Republic of the Congo,0,0,0,0
Reunion,9,0,0,9
Romania,184,0,16,168
Russia,114,0,8,106
Rwanda,7,0,0,7
Saint Lucia,2,0,0,2
Saint Vincent and the Grenadines,1,0,0,1
San Marino,109,7,4,98
Saudi Arabia,171,0,6,165
Senegal,26,0,2,24
Serbia,65,0,1,64
Seychelles,4,0,0,4
Singapore,266,0,114,152
Slovakia,72,0,0,72
Slovenia,275,1,0,274
Somalia,1,0,0,1
South Africa,62,0,0,62
Spain,11748,533,1028,10187
Sri Lanka,44,0,1,43
Sudan,1,1,0,0
Suriname,1,0,0,1
Sweden,1190,7,1,1182
Switzerland,2700,27,4,2669
Taiwan*,77,1,22,54
Tanzania,1,0,0,1
Thailand,177,1,41,135
The Bahamas,1,0,0,1
The Gambia,1,0,0,1
Togo,1,0,0,1
Trinidad and Tobago,5,0,0,5
Tunisia,24,0,0,24
Turkey,47,1,0,46
US,6421,108,17,6296
Ukraine,14,2,0,12
United Arab Emirates,98,0,23,75
United Kingdom,1960,56,53,1851
Uruguay,29,0,0,29
Uzbekistan,10,0,0,10
Venezuela,33,0,0,33
Vietnam,66,0,16,50
occupied Palestinian territory,0,0,0,0
