Country_Region,Confirmed,Deaths,Recovered,Active
Afghanistan,2894,90,397,2407
Albania,803,31,543,229
Algeria,4648,465,1998,2185
Andorra,750,45,499,206
Angola,35,2,11,22
Antigua and Barbuda,25,3,15,7
Argentina,4887,260,1442,3185
Armenia,2507,39,1071,1397
Australia,6847,96,5887,864
Austria,15621,600,13316,1705
Azerbaijan,1984,26,1480,478
Bahamas,83,11,25,47
Bahrain,3533,8,1744,1781
Bangladesh,10143,182,1209,8752
Barbados,82,7,46,29
Belarus,17489,103,3259,14127
Belgium,50267,7924,12378,29965
Belize,18,2,14,2
Benin,96,2,50,44
Bhutan,7,0,5,2
Bolivia,1681,82,174,1425
Bosnia and Herzegovina,1926,78,855,993
Botswana,23,1,8,14
Brazil,108620,7367,45815,55438
Brunei,138,1,130,7
Bulgaria,1652,78,321,1253
Burkina Faso,672,46,545,81
Burma,161,6,49,106
Burundi,15,1,7,7
Cabo Verde,175,2,37,136
Cambodia,122,0,120,2
Cameroon,2104,64,953,1087
Canada,61957,4003,26030,31924
Central African Republic,85,0,10,75
Chad,117,10,39,68
Chile,20643,270,10415,9958
China,83966,4637,78792,537
Colombia,7973,358,1807,5808
Comoros,3,0,0,3
Congo (Brazzaville),236,10,26,200
Congo (Kinshasa),682,34,80,568
Costa Rica,742,6,399,337
Cote d\'Ivoire,1432,17,693,722
Croatia,2101,80,1522,499
Cuba,1668,69,876,723
Cyprus,874,15,296,563
Czechia,7819,252,3807,3760
Denmark,9868,493,7284,2091
Diamond Princess,712,13,645,54
Djibouti,1116,2,713,401
Dominica,16,0,13,3
Dominican Republic,8235,346,1771,6118
Ecuador,31881,1569,3433,26879
Egypt,6813,436,1632,4745
El Salvador,555,13,180,362
Equatorial Guinea,315,3,13,299
Eritrea,39,0,26,13
Estonia,1703,55,259,1389
Eswatini,116,1,12,103
Ethiopia,140,3,75,62
Fiji,18,0,14,4
Finland,5327,240,3500,1587
France,169583,25204,51476,92903
Gabon,367,6,93,268
Gambia,17,1,9,7
Georgia,593,9,223,361
Germany,166152,6993,132700,26459
Ghana,2719,18,294,2407
Greece,2632,146,1374,1112
Grenada,21,0,13,8
Guatemala,730,19,79,632
Guinea,1710,9,450,1251
Guinea-Bissau,413,1,19,393
Guyana,92,9,27,56
Haiti,100,11,10,79
Holy See,11,0,2,9
Honduras,1178,83,122,973
Hungary,3035,351,630,2054
Iceland,1799,10,1723,66
India,46437,1566,12847,32024
Indonesia,11587,864,1954,8769
Iran,98647,6277,79379,12991
Iraq,2346,98,1544,704
Ireland,21772,1319,13386,7067
Israel,16246,235,10064,5947
Italy,211938,29079,82879,99980
Jamaica,471,9,38,424
Japan,15078,536,4156,10386
Jordan,465,9,370,86
Kazakhstan,4049,29,1173,2847
Kenya,490,24,173,293
"Korea, South",10804,254,9283,1267
Kosovo,855,26,403,426
Kuwait,5278,40,1947,3291
Kyrgyzstan,830,10,575,245
Laos,19,0,9,10
Latvia,896,16,348,532
Lebanon,740,25,200,515
Liberia,166,18,58,90
Libya,63,3,23,37
Liechtenstein,82,1,55,26
Lithuania,1419,46,638,735
Luxembourg,3828,96,3405,327
MS Zaandam,9,2,0,7
Madagascar,149,0,99,50
Malawi,41,3,9,29
Malaysia,6353,105,4484,1764
Maldives,541,1,18,522
Mali,580,29,223,328
Malta,480,4,399,77
Mauritania,8,1,6,1
Mauritius,332,10,316,6
Mexico,24905,2271,13447,9187
Moldova,4248,132,1423,2693
Monaco,95,4,78,13
Mongolia,40,0,12,28
Montenegro,323,8,253,62
Morocco,5053,179,1653,3221
Mozambique,80,0,19,61
Namibia,16,0,8,8
Nepal,75,0,16,59
Netherlands,40968,5098,138,35732
New Zealand,1486,20,1302,164
Nicaragua,15,5,7,3
Niger,755,37,534,184
Nigeria,2802,93,417,2292
North Macedonia,1518,85,992,441
Norway,7904,214,32,7658
Oman,2637,12,816,1809
Pakistan,20941,476,5635,14830
Panama,7197,200,641,6356
Papua New Guinea,8,0,8,0
Paraguay,415,10,130,275
Peru,47372,1344,14427,31601
Philippines,9485,623,1315,7547
Poland,14006,698,4095,9213
Portugal,25524,1063,1712,22749
Qatar,16191,12,1810,14369
Romania,13512,818,5269,7425
Russia,145268,1356,18095,125817
Rwanda,261,0,128,133
Saint Kitts and Nevis,15,0,8,7
Saint Lucia,18,0,15,3
Saint Vincent and the Grenadines,17,0,9,8
San Marino,582,41,86,455
Sao Tome and Principe,23,3,4,16
Saudi Arabia,28656,191,4476,23989
Senegal,1271,10,415,846
Serbia,9557,197,1574,7786
Seychelles,11,0,6,5
Sierra Leone,178,9,37,132
Singapore,18778,18,1457,17303
Slovakia,1413,25,643,745
Slovenia,1439,97,241,1101
Somalia,756,35,61,660
South Africa,7220,138,2746,4336
South Sudan,46,0,0,46
Spain,218011,25428,121343,71240
Sri Lanka,751,8,194,549
Sudan,678,41,61,576
Suriname,10,1,9,0
Sweden,22721,2769,4074,15878
Switzerland,29981,1784,25200,2997
Syria,44,3,27,14
Taiwan*,438,6,334,98
Tajikistan,230,3,0,227
Tanzania,480,16,167,297
Thailand,2987,54,2740,193
Timor-Leste,24,0,20,4
Togo,126,9,74,43
Trinidad and Tobago,116,8,99,9
Tunisia,1018,43,406,569
Turkey,127659,3461,68166,56032
US,1180375,68922,187180,924273
Uganda,97,0,55,42
Ukraine,12331,303,1619,10409
United Arab Emirates,14730,137,2966,11627
United Kingdom,191832,28809,910,162113
Uruguay,657,17,447,193
Uzbekistan,2189,10,1405,774
Venezuela,357,10,158,189
Vietnam,271,0,219,52
West Bank and Gaza,362,2,102,258
Western Sahara,6,0,5,1
Yemen,12,2,1,9
Zambia,137,3,78,56
Zimbabwe,34,4,5,25
