Country_Region,Confirmed,Deaths,Recovered,Active
Afghanistan,840,30,54,756
Albania,518,26,277,215
Algeria,2268,348,783,1137
Andorra,673,33,169,471
Angola,19,2,5,12
Antigua and Barbuda,23,3,3,17
Argentina,2571,115,631,1825
Armenia,1159,18,358,783
Australia,6462,63,2355,4044
Austria,14476,410,8986,5080
Azerbaijan,1283,15,460,808
Bahamas,53,8,6,39
Bahrain,1700,7,703,990
Bangladesh,1572,60,49,1463
Barbados,75,5,15,55
Belarus,4204,40,203,3961
Belgium,34809,4857,7562,22390
Belize,18,2,0,16
Benin,35,1,18,16
Bhutan,5,0,2,3
Bolivia,441,29,14,398
Bosnia and Herzegovina,1167,43,277,847
Botswana,15,1,0,14
Brazil,30425,1924,14026,14475
Brunei,136,1,108,27
Bulgaria,800,38,122,640
Burkina Faso,546,32,257,257
Burma,85,4,2,79
Burundi,5,1,0,4
Cabo Verde,56,1,1,54
Cambodia,122,0,98,24
Cameroon,996,22,164,810
Canada,30809,1258,9698,19853
Central African Republic,12,0,4,8
Chad,27,0,5,22
Chile,8807,105,3299,5403
China,83403,3346,78401,1656
Colombia,3233,144,550,2539
Congo (Brazzaville),117,5,11,101
Congo (Kinshasa),267,22,23,222
Costa Rica,642,4,74,564
Cote d\'Ivoire,654,6,146,502
Croatia,1791,35,529,1227
Cuba,862,27,171,664
Cyprus,735,12,77,646
Czechia,6433,169,972,5292
Denmark,7074,321,3203,3550
Diamond Princess,712,12,644,56
Djibouti,591,2,73,516
Dominica,16,0,8,8
Dominican Republic,3755,196,215,3344
Ecuador,8225,403,838,6984
Egypt,2673,196,596,1881
El Salvador,164,6,33,125
Equatorial Guinea,51,0,4,47
Eritrea,35,0,0,35
Estonia,1434,36,133,1265
Eswatini,16,1,8,7
Ethiopia,92,3,15,74
Fiji,17,0,0,17
Finland,3369,75,1700,1594
France,147091,17941,33327,95823
Gabon,80,1,4,75
Gambia,9,1,2,6
Georgia,348,3,76,269
Germany,137698,4052,77000,56646
Ghana,641,8,83,550
Greece,2207,105,269,1833
Grenada,14,0,0,14
Guatemala,196,5,19,172
Guinea,438,1,49,388
Guinea-Bissau,43,0,0,43
Guyana,55,6,8,41
Haiti,41,3,0,38
Holy See,8,0,2,6
Honduras,426,35,9,382
Hungary,1652,142,199,1311
Iceland,1739,8,1144,587
India,13430,448,1768,11214
Indonesia,5516,496,548,4472
Iran,77995,4869,52229,20897
Iraq,1434,80,856,498
Ireland,13271,486,77,12708
Israel,12758,142,2818,9798
Italy,168941,22170,40164,106607
Jamaica,143,5,21,117
Japan,8626,178,901,7547
Jordan,402,7,259,136
Kazakhstan,1402,17,277,1108
Kenya,234,11,53,170
"Korea, South",10613,229,7757,2627
Kosovo,449,11,79,359
Kuwait,1524,3,225,1296
Kyrgyzstan,466,5,91,370
Laos,19,0,2,17
Latvia,675,5,57,613
Lebanon,663,21,86,556
Liberia,59,6,4,49
Libya,49,1,11,37
Liechtenstein,79,1,55,23
Lithuania,1128,32,178,918
Luxembourg,3444,69,552,2823
MS Zaandam,9,2,0,7
Madagascar,111,0,33,78
Malawi,16,2,0,14
Malaysia,5182,84,2766,2332
Maldives,25,0,16,9
Mali,171,13,34,124
Malta,412,3,82,327
Mauritania,7,1,2,4
Mauritius,324,9,81,234
Mexico,5847,449,2125,3273
Moldova,2154,54,235,1865
Monaco,93,3,12,78
Mongolia,31,0,5,26
Montenegro,303,4,55,244
Morocco,2283,130,249,1904
Mozambique,31,0,2,29
Namibia,16,0,4,12
Nepal,16,0,2,14
Netherlands,29383,3327,311,25745
New Zealand,1401,9,770,622
Nicaragua,9,1,4,4
Niger,584,14,90,480
Nigeria,442,13,152,277
North Macedonia,1081,46,121,914
Norway,6896,152,32,6712
Oman,1019,4,176,839
Pakistan,6919,128,1645,5146
Panama,3751,103,75,3573
Papua New Guinea,7,0,0,7
Paraguay,174,8,30,136
Peru,12491,274,6120,6097
Philippines,5660,362,435,4863
Poland,7918,314,774,6830
Portugal,18841,629,493,17719
Qatar,4103,7,415,3681
Romania,7707,392,1357,5958
Russia,27938,232,2304,25402
Rwanda,138,0,60,78
Saint Kitts and Nevis,14,0,0,14
Saint Lucia,15,0,11,4
Saint Vincent and the Grenadines,12,0,1,11
San Marino,426,38,55,333
Sao Tome and Principe,4,0,0,4
Saudi Arabia,6380,83,990,5307
Senegal,335,2,194,139
Serbia,5318,103,0,5215
Seychelles,11,0,0,11
Sierra Leone,15,0,0,15
Singapore,4427,10,683,3734
Slovakia,977,8,167,802
Slovenia,1268,61,174,1033
Somalia,80,5,2,73
South Africa,2605,48,903,1654
South Sudan,4,0,0,4
Spain,184948,19315,74797,90836
Sri Lanka,238,7,68,163
Sudan,32,5,4,23
Suriname,10,1,6,3
Sweden,12540,1333,550,10657
Switzerland,26732,1281,15900,9551
Syria,33,2,5,26
Taiwan*,395,6,155,234
Tanzania,94,4,11,79
Thailand,2672,46,1593,1033
Timor-Leste,18,0,1,17
Togo,81,5,45,31
Trinidad and Tobago,114,8,20,86
Tunisia,822,37,43,742
Turkey,74193,1643,7089,65461
US,667801,32916,54703,580182
Uganda,55,0,20,35
Ukraine,4161,116,186,3859
United Arab Emirates,5825,35,1095,4695
United Kingdom,104145,13759,375,90011
Uruguay,502,9,286,207
Uzbekistan,1349,4,129,1216
Venezuela,204,9,111,84
Vietnam,268,0,177,91
West Bank and Gaza,374,2,63,309
Western Sahara,6,0,0,6
Yemen,1,0,0,1
Zambia,48,2,30,16
Zimbabwe,23,3,1,19
