Country/Region,Confirmed,Deaths,Recovered,Active
Australia,15,0,10,5
Belgium,1,0,1,0
Cambodia,1,0,1,0
Canada,8,0,1,7
Egypt,1,0,0,1
Finland,1,0,1,0
France,12,1,4,7
Germany,16,0,1,15
Hong Kong,60,1,2,57
India,3,0,3,0
Italy,3,0,0,3
Japan,66,1,12,53
Macau,10,0,5,5
Mainland China,72364,1863,12455,58046
Malaysia,22,0,7,15
Nepal,1,0,1,0
Others,454,0,0,454
Philippines,3,1,1,1
Russia,2,0,2,0
Singapore,77,0,24,53
South Korea,30,0,10,20
Spain,2,0,2,0
Sri Lanka,1,0,1,0
Sweden,1,0,0,1
Taiwan,22,1,2,19
Thailand,35,0,15,20
UK,9,0,8,1
US,14,0,3,11
United Arab Emirates,9,0,4,5
Vietnam,16,0,7,9
