Country/Region,Confirmed,Deaths,Recovered,Active
Australia,15,0,2,13
Belgium,1,0,0,1
Cambodia,1,0,0,1
Canada,7,0,0,7
Finland,1,0,0,1
France,11,0,0,11
Germany,14,0,0,14
Hong Kong,38,1,0,37
India,3,0,0,3
Italy,3,0,0,3
Japan,26,0,4,22
Macau,10,0,1,9
Mainland China,42306,1011,3917,37378
Malaysia,18,0,1,17
Nepal,1,0,0,1
Others,135,0,0,135
Philippines,3,1,0,2
Russia,2,0,0,2
Singapore,45,0,2,43
South Korea,27,0,3,24
Spain,2,0,0,2
Sri Lanka,1,0,1,0
Sweden,1,0,0,1
Taiwan,18,0,1,17
Thailand,32,0,10,22
UK,8,0,0,8
US,12,0,3,9
United Arab Emirates,8,0,0,8
Vietnam,14,0,1,13
