Country/Region,Confirmed,Deaths,Recovered,Active
Australia,15,0,8,7
Belgium,1,0,0,1
Cambodia,1,0,1,0
Canada,7,0,1,6
Egypt,1,0,0,1
Finland,1,0,1,0
France,12,1,4,7
Germany,16,0,1,15
Hong Kong,56,1,1,54
India,3,0,0,3
Italy,3,0,0,3
Japan,43,1,12,30
Macau,10,0,3,7
Mainland China,68347,1662,9294,57391
Malaysia,22,0,7,15
Nepal,1,0,1,0
Others,285,0,0,285
Philippines,3,1,1,1
Russia,2,0,2,0
Singapore,72,0,18,54
South Korea,28,0,9,19
Spain,2,0,2,0
Sri Lanka,1,0,1,0
Sweden,1,0,0,1
Taiwan,18,0,2,16
Thailand,33,0,12,21
UK,9,0,1,8
US,15,0,3,12
United Arab Emirates,8,0,3,5
Vietnam,16,0,7,9
