Country_Region,Confirmed,Deaths,Recovered,Active
Afghanistan,2335,68,310,1957
Albania,782,31,488,263
Algeria,4154,453,1821,1880
Andorra,745,43,468,234
Angola,30,2,11,17
Antigua and Barbuda,25,3,15,7
Argentina,4532,225,1292,3015
Armenia,2148,33,977,1138
Australia,6778,93,5775,910
Austria,15531,589,13110,1832
Azerbaijan,1854,25,1365,464
Bahamas,81,11,24,46
Bahrain,3170,8,1555,1607
Bangladesh,8238,170,174,7894
Barbados,81,7,39,35
Belarus,14917,93,2918,11906
Belgium,49032,7703,11892,29437
Belize,18,2,13,3
Benin,90,2,42,46
Bhutan,7,0,5,2
Bolivia,1229,66,134,1029
Bosnia and Herzegovina,1781,70,755,956
Botswana,23,1,8,14
Brazil,92202,6412,38039,47751
Brunei,138,1,124,13
Bulgaria,1555,68,276,1211
Burkina Faso,649,44,517,88
Burma,151,6,31,114
Burundi,11,1,4,6
Cabo Verde,122,1,18,103
Cambodia,122,0,120,2
Cameroon,1832,61,934,837
Canada,56343,3537,22764,30042
Central African Republic,72,0,10,62
Chad,73,5,33,35
Chile,17008,234,9018,7756
China,83959,4637,78573,749
Colombia,7006,314,1551,5141
Comoros,1,0,0,1
Congo (Brazzaville),229,9,25,195
Congo (Kinshasa),604,32,75,497
Costa Rica,725,6,355,364
Cote d\'Ivoire,1333,15,597,721
Croatia,2085,75,1421,589
Cuba,1537,64,714,759
Cyprus,857,15,296,546
Czechia,7737,240,3372,4125
Denmark,9509,460,6924,2125
Diamond Princess,712,13,645,54
Djibouti,1097,2,672,423
Dominica,16,0,13,3
Dominican Republic,7288,313,1387,5588
Ecuador,26336,1063,1913,23360
Egypt,5895,406,1460,4029
El Salvador,424,10,124,290
Equatorial Guinea,315,1,9,305
Eritrea,39,0,26,13
Estonia,1694,52,253,1389
Eswatini,106,1,12,93
Ethiopia,133,3,66,64
Fiji,18,0,12,6
Finland,5051,218,3000,1833
France,167305,24628,51124,91553
Gabon,276,3,67,206
Gambia,12,1,8,3
Georgia,566,7,207,352
Germany,164077,6736,126900,30441
Ghana,2074,17,212,1845
Greece,2612,140,1374,1098
Grenada,20,0,13,7
Guatemala,644,16,72,556
Guinea,1537,7,342,1188
